127.0.0.1 - - [17/Jan/2017:09:33:39 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:33:40 -0800] "GET /lab2/index.html HTTP/1.1" 200 1267
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:33:40 -0800] "GET /lab2/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:33:58 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:33:58 -0800] "GET /lab2/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:33:59 -0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:42:43 -0800] "GET /lab2/index.html HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:42:43 -0800] "GET /lab2/js/FactoryWall.js HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:42:43 -0800] "GET /lab2/js/Factory.js HTTP/1.1" 200 6220
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:42:43 -0800] "GET /lab2/css/main.css HTTP/1.1" 200 2916
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:42:43 -0800] "GET /lab2/js/WebSocketEndpoint.js HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:42:43 -0800] "GET /lab2/js/FactoryResource.js HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:42:43 -0800] "GET /lab2/js/FactoryWorker.js HTTP/1.1" 200 6867
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:42:43 -0800] "GET /lab2/js/FactoryTaskBoard.js HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:42:44 -0800] "GET /lab2/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:42:44 -0800] "GET /lab2/resources/factory.txt HTTP/1.1" 200 1044
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:42:44 -0800] "GET /lab2/img/Hard%20Drive.png HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:42:44 -0800] "GET /lab2/img/Motherboard.png HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:42:44 -0800] "GET /lab2/img/Processor.png HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:42:44 -0800] "GET /lab2/img/Box.png HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:42:44 -0800] "GET /lab2/img/Memory.png HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:42:44 -0800] "GET /lab2/img/Taskboard.png HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:42:44 -0800] "GET /lab2/img/worker.png HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:42:44 -0800] "GET /lab2/img/Wall.png HTTP/1.1" 200 180
