127.0.0.1 - - [25/Feb/2017:15:26:23 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:26:25 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:26:25 -0800] "GET /Assignment_2/css/main.css HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:27:21 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1732
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:34:03 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1732
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:34:08 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:34:08 -0800] "GET /Assignment_2/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:34:35 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:34:35 -0800] "GET /Assignment_2/css/main.css HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:34:36 -0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:34:45 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1766
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:38:05 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1766
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:39:13 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1766
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:46:12 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1766
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:48:05 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:48:05 -0800] "GET /Assignment_2/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:48:14 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1766
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:55:13 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1766
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:55:16 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:55:19 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1766
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:55:24 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:55:24 -0800] "GET /Assignment_2/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:55:32 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1766
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:57:49 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:57:49 -0800] "GET /Assignment_2/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:57:51 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:57:51 -0800] "GET /Assignment_2/jsp/login.jsp HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [25/Feb/2017:16:48:32 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1623
0:0:0:0:0:0:0:1 - - [25/Feb/2017:16:48:40 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1623
0:0:0:0:0:0:0:1 - - [25/Feb/2017:16:48:45 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [25/Feb/2017:16:48:48 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1623
0:0:0:0:0:0:0:1 - - [25/Feb/2017:16:49:18 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1623
0:0:0:0:0:0:0:1 - - [25/Feb/2017:16:50:40 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [25/Feb/2017:16:50:40 -0800] "GET /Assignment_2/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:16:50:42 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1623
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:01:40 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:01:40 -0800] "GET /Assignment_2/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:01:46 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1623
