127.0.0.1 - - [21/Mar/2017:09:17:06 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:06 -0700] "GET /CSCI201Factory/index.html HTTP/1.1" 200 1786
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:07 -0700] "GET /CSCI201Factory/css/main.css HTTP/1.1" 200 2916
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:07 -0700] "GET /CSCI201Factory/js/Factory.js HTTP/1.1" 200 7710
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:07 -0700] "GET /CSCI201Factory/js/WebSocketEndpoint.js HTTP/1.1" 200 2724
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:07 -0700] "GET /CSCI201Factory/ws HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:07 -0700] "GET /CSCI201Factory/js/PlaceObject.js HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:07 -0700] "GET /CSCI201Factory/js/FactoryResource.js HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:07 -0700] "GET /CSCI201Factory/js/FactoryWorker.js HTTP/1.1" 200 8771
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:07 -0700] "GET /CSCI201Factory/js/FactoryTaskBoard.js HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:27 -0700] "GET /CSCI201Factory/index.html HTTP/1.1" 200 1786
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:27 -0700] "GET /CSCI201Factory/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:27 -0700] "GET /CSCI201Factory/js/PlaceObject.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:27 -0700] "GET /CSCI201Factory/js/FactoryWorker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:27 -0700] "GET /CSCI201Factory/js/WebSocketEndpoint.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:27 -0700] "GET /CSCI201Factory/js/FactoryResource.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:27 -0700] "GET /CSCI201Factory/js/FactoryTaskBoard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:27 -0700] "GET /CSCI201Factory/js/Factory.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:27 -0700] "GET /CSCI201Factory/ws HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:32 -0700] "GET /CSCI201Factory/index.html HTTP/1.1" 200 1786
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:32 -0700] "GET /CSCI201Factory/css/main.css HTTP/1.1" 200 2916
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:32 -0700] "GET /CSCI201Factory/js/Factory.js HTTP/1.1" 200 7710
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:32 -0700] "GET /CSCI201Factory/js/FactoryWorker.js HTTP/1.1" 200 8771
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:32 -0700] "GET /CSCI201Factory/js/FactoryResource.js HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:32 -0700] "GET /CSCI201Factory/js/PlaceObject.js HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:32 -0700] "GET /CSCI201Factory/js/WebSocketEndpoint.js HTTP/1.1" 200 2724
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:32 -0700] "GET /CSCI201Factory/js/FactoryTaskBoard.js HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:33 -0700] "GET /CSCI201Factory/ws HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:17:33 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Mar/2017:09:18:58 -0700] "GET /CSCI201Factory/ws HTTP/1.1" 404 1028
