127.0.0.1 - - [08/May/2017:08:55:51 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/May/2017:08:55:53 -0700] "GET /haley_website/index.html HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [08/May/2017:08:55:53 -0700] "GET /haley_website/css/style.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [08/May/2017:08:59:15 -0700] "GET /haley_website/index.html HTTP/1.1" 200 8729
0:0:0:0:0:0:0:1 - - [08/May/2017:08:59:16 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [08/May/2017:08:59:16 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [08/May/2017:08:59:16 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [08/May/2017:08:59:16 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [08/May/2017:08:59:16 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [08/May/2017:09:00:26 -0700] "GET /haley_website/index.html HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [08/May/2017:09:00:26 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:00:26 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:00:26 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:00:26 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:00:26 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:03:45 -0700] "GET /haley_website/index.html HTTP/1.1" 200 10459
0:0:0:0:0:0:0:1 - - [08/May/2017:09:03:45 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:03:45 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:03:45 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:03:45 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:03:45 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:04:55 -0700] "GET /haley_website/index.html HTTP/1.1" 200 10843
0:0:0:0:0:0:0:1 - - [08/May/2017:09:04:55 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:04:55 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:04:55 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:04:55 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:04:55 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:05:27 -0700] "GET /haley_website/index.html HTTP/1.1" 200 10799
0:0:0:0:0:0:0:1 - - [08/May/2017:09:05:28 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:05:28 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:05:28 -0700] "GET /haley_website/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:05:28 -0700] "GET /haley_website/js/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:05:28 -0700] "GET /haley_website/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:07:39 -0700] "GET /haley_website/index.html HTTP/1.1" 200 10808
0:0:0:0:0:0:0:1 - - [08/May/2017:09:07:39 -0700] "GET /haley_website/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2017:09:07:39 -0700] "GET /haley_website/css/custom.css HTTP/1.1" 304 -
